ID_judet,Judet,SIRUTA,Localitate,Website,E-mail general,E-mail registratura,Telefon,Adresa
1,ALBA,1017,MUNICIPIUL ALBA IULIA,https://apulum.ro/,office@apulum.ro,,258819462,"Calea Moţilor nr. 5A,
510134 Alba Iulia, România"
1,ALBA,1213,MUNICIPIUL AIUD,http://www.aiud.ro/,office@aiud.ro,,258861310,"Aiud - 515200, judetul Alba
Str. Cuza Vodã, nr.1"
1,ALBA,1348,MUNICIPIUL BLAJ,http://primariablaj.ro/,primarieblaj@rcnet.ro,,756089214,"Piața 1848, nr. 16, Blaj, jud. Alba, 515400"
1,ALBA,1874,MUNICIPIUL SEBES,https://www.primariasebes.ro/,secretariat@primariasebes.ro,,258710110,"SEBEȘ, STR. PIAȚA PRIMĂRIEI, NR.1"
1,ALBA,1151,ORAS ABRUD,http://www.primaria-abrud.ro/,primariaabrud@yahoo.com,,258780519,"Abrud, jud. Alba, Piața Eroilor, nr.1, 515100, Romania"
1,ALBA,2915,ORAS BAIA DE ARIES,http://www.baiadearies.ro/,primbaia@yahoo.com,,258775002,"BAIA DE ARIES, Str. Piata Baii, nr. 1, 515300, jud. Alba"
1,ALBA,1455,ORAS CAMPENI,http://www.primariacimpeni.ro/,primaria_cimpeni@yahoo.com,,258771215,"Piața Avram Iancu 5, Câmpeni 515500"
1,ALBA,1696,ORAS CUGIR,http://www.primariacugir.ro/,office@primariacugir.ro,,258751001,"Strada Ion Luca Caragiale 1, Cugir 515600"
1,ALBA,1794,ORAS OCNA MURES,https://www.primariaocnamures.ro/,contact@primariaocnamures.ro,,258871257,"Strada Nicolae Iorga Nr. 27 cod poștal 515700, Ocna Mureș, jud. Alba, România"
1,ALBA,8096,ORAS TEIUS,http://primariateius.ro/,primaria_orasului_teius@yahoo.com,office@primariateius.ro,258851101,"Primaria Teius – Str. Clujului nr 80, Teius, Jud. Alba, 515900"
1,ALBA,1936,ORAS ZLATNA,http://www.primaria-zlatna.ro/nou/,pr_zlatna@primariazlatna.ro,,258856337,"Str. Piata Unirii, Nr.1A, 516100, Zlatna, Alba, ROMANIA"
1,ALBA,2130,ALBAC,,primaria_albac@yahoo.com,,258777501,"Com Albac, Str. Closca, nr. 9 517005 Comuna Albac, Alba"
1,ALBA,2309,ALMASU MARE,https://www.almasumare.ro/,primaria_almasu_mare@yahoo.com,,258850105,"Almasu Mare, str.Principala, nr.204, 517030, judetul Alba"
1,ALBA,2381,ARIESENI,http://www.primariaarieseni.ro/,arieseni@ab.e-adm.ro,,258402989,"sat Arieseni ,str.Principala nr. 19 , comuna Arieseni , judetul Alba , 517040"
1,ALBA,2577,AVRAM IANCU,http://www.primariaavramiancu.ro/,uatcavramiancu@primariaavramiancu.ro,,258786057,Sat.Avram Iancu nr.169 Comuna Avram Iancu Localitatea Avram Iancu Judetul Alba
1,ALBA,2988,BERGHIN,,primariaberghin@yahoo.com,,258854101,"Berghin, Strada Principală, nr. 361, 517110, Alba, Romania"
1,ALBA,3039,BISTRA,https://bistra.ro/,primar@bistra.ro,,258773105,"Com. Bistra, Sat Bistra, Strada Calea Turzii nr. 100 Judet Alba"
1,ALBA,3397,BLANDIANA,https://comuna-blandiana.ro/,primariablandiana@yahoo.com,,258760811,"Sat Blandiana, nr. 15, Comuna Blandiana, jud. Alba"
1,ALBA,9026,BUCERDEA GRANOASA,https://bucerdea-granoasa.ro/site/,primar@bucerdea-granoasa.ro,,258883301,"Str. Ioan Maiorescu, nr. 82 , sat Bucerdea"
1,ALBA,3459,BUCIUM,https://primariabucium.ro/,primaria@primariabucium.ro,,258784112,
1,ALBA,4106,CALNIC,https://www.primaria-calnic.ro/,primaria_calnic@yahoo.com,,258747050,"Str. Principală nr. 20, 517205 Câlnic, jud. Alba, România"
1,ALBA,3761,CENADE,http://www.primariacenade.ro/,cenade@ab.e-adm.ro,,258789003,"Com. Cenade, Sat Cenade nr. 372 Judet Alba"
1,ALBA,3805,CERGAU,https://www.primariacergau.ro/,primariacergau@yahoo.com,,258719302,"Cergău Mare,Str. Principală nr. 125, jud. Alba"
1,ALBA,3841,CERU-BACAINTI,http://cerubacainti.ro/,primariacerubacainti@yahoo.com,,258700840,"CERU-BACAINTI, Strada Principală, nr. 5,Județ: Alba, Romania"
1,ALBA,3958,CETATEA DE BALTA,https://cetateadebalta.ro/,primariacdb@yahoo.com,,258886364,"COMUNA CETATEA DE BALTĂ, str. Cetatii, nr. 32, jud. Alba"
1,ALBA,1071,CIUGUD,https://www.primariaciugud.ro,office@primariaciugud.ro,,258841205,"Sat Ciugud, Strada Simion Bran Nr. 10, Cod poștal 517240"
1,ALBA,4008,CIURULEASA,https://primariaciuruleasa.ro/,primariaciuruleasa@gmail.com,,258780605,"Str. Centru, 1, Com. Ciuruleasa, Alba, Ciuruleasa"
1,ALBA,4188,CRACIUNELU DE JOS,https://www.craciuneludejos.ro/,prim_craciuneludejos@yahoo.com,,258883501,"Comuna Craciunelu de Jos, str.6 Martie,nr.131, judetul Alba"
1,ALBA,4142,CRICAU,http://www.comunacricau.ro/,cricauprimaria@yahoo.com,,258845019,"Loc. Cricau ,Str. Axente Sever Nr.58 ,Jud. Alba"
1,ALBA,9019,CUT,,primariacut@yahoo.com,,258745111,"Cut, str. Principala, nr.29, cod 517206"
1,ALBA,4240,DAIA ROMANA,https://primariadaiaromana.ro/,daiaprimaria@yahoo.com,,258763101,"Str. Principala, nr. 326, Daia Română, 517270, judetul Alba, Romania"
